id,x,y,macro_node,macro_link_id,in_out,layer_id,split
0,11701.450782001553,-15476.463803175313,53396700174,5339670017401387,out,0,
1,11701.427533109207,-15476.635887975954,53396700174,5339670017401387,in,0,
2,11700.702379966207,-15476.917619422346,53396700174,5339670017410821,out,0,
3,11700.569050941358,-15476.80636718309,53396700174,5339670017410821,in,0,
4,11700.45365147062,-15476.43433638297,53396700174,5339670017413680,out,0,
5,11700.500615143868,-15476.267159521527,53396700174,5339670017413680,in,0,
6,11700.783458162465,-15476.954947756498,53396700174,5339670017481308,out,0,
7,11700.63247248189,-15476.869174719543,53396700174,5339670017481308,in,0,
8,11511.868317454142,-15418.448172602317,53396700176,5339670017610786,out,0,
9,11511.91655014989,-15418.281357445128,53396700176,5339670017610786,in,0,
10,11512.409966954636,-15418.00352028677,53396700176,5339670017612603,out,0,
11,11512.57761423725,-15418.048775985184,53396700176,5339670017612603,in,0,
12,11512.858941932747,-15418.58201696958,53396700176,5339670017612606,out,0,
13,11512.80165519273,-15418.745943535534,53396700176,5339670017612606,in,0,
14,10744.58377801398,-15301.610225183282,53396700182,5339670018200492,out,0,
15,10744.75725409237,-15301.617954338011,53396700182,5339670018200492,in,0,
16,11557.33670848469,-15252.476278489934,53396700185,5339670018500191,out,0,
17,11557.504909011008,-15252.519432545985,53396700185,5339670018500191,in,0,
18,11556.815806283774,-15252.84417746682,53396700185,5339670018510770,out,0,
19,11556.88959219585,-15252.686985454346,53396700185,5339670018510770,in,0,
20,11557.245000974048,-15253.471947950666,53396700185,5339670018510796,out,0,
21,11557.07819312832,-15253.423689975043,53396700185,5339670018510796,in,0,
22,12360.794863849937,-15233.843012352396,53396700187,5339670018701370,out,0,
23,12360.642685617511,-15233.759373395067,53396700187,5339670018701370,in,0,
24,12360.488210785457,-15233.192964342854,53396700187,5339670018712902,out,0,
25,12360.576855509073,-15233.043646552278,53396700187,5339670018712902,in,0,
26,12361.070403990374,-15232.882947246371,53396700187,5339670018713465,out,0,
27,12361.229970259375,-15232.951447577785,53396700187,5339670018713465,in,0,
28,11574.104731002064,-15187.818705637148,53396700191,5339670018500191,out,0,
29,11573.936530475747,-15187.775551581097,53396700191,5339670018500191,in,0,
30,11574.014521596842,-15186.83696091006,53396700191,5339670019113681,out,0,
31,11574.187537835604,-15186.822159871852,53396700191,5339670019113681,in,0,
32,10995.028954321953,-14902.047310569606,53396700197,5339670019712469,out,0,
33,10995.148381793168,-14902.173369162037,53396700197,5339670019712469,in,0,
34,10994.451935312496,-14902.863728148031,53396700197,5339670019713994,out,0,
35,10994.326930030742,-14902.74319861165,53396700197,5339670019713994,in,0,
36,10994.307546892698,-14902.183458748545,53396700197,5339670019780340,out,0,
37,10994.423915135641,-14902.054570728771,53396700197,5339670019780340,in,0,
38,11061.512329351392,-14840.004570479588,53396700198,5339670019810734,out,0,
39,11061.641264233387,-14840.120886797498,53396700198,5339670019810734,in,0,
40,11061.649748307513,-14840.724594928164,53396700198,5339670019810740,out,0,
41,11061.52413294731,-14840.844488509678,53396700198,5339670019810740,in,0,
42,11060.945132619687,-14840.826960433275,53396700198,5339670019812469,out,0,
43,11060.82699972024,-14840.699687860913,53396700198,5339670019812469,in,0,
44,9598.53511755848,-14794.595070602214,53396700204,5339670020412388,out,0,
45,9598.689063352247,-14794.675409771919,53396700204,5339670020412388,in,0,
46,9633.34954362335,-14722.432746491839,53396700211,5339670021112386,out,0,
47,9633.516060611573,-14722.481998722647,53396700211,5339670021112386,in,0,
48,9633.158279160336,-14723.411024019622,53396700211,5339670021112388,out,0,
49,9633.001740186797,-14723.335862597534,53396700211,5339670021112388,in,0,
